2	21	1
2	3893	1
3	1261	1
4	3527	1
5	2916	1
5	501	1
5	2058	1
5	733	1
5	3513	1
5	2717	1
5	1127	1
5	1279	1
5	3744	1
5	3020	1
5	2159	1
5	3249	1
5	3100	1
5	1721	1
5	3113	1
5	1594	1
5	24	1
5	2188	1
5	356	1
6	2858	1
11	1682	1
11	586	1
11	2136	1
11	2712	1
11	2806	1
11	3396	1
11	3101	1
11	2598	1
11	2306	1
11	3552	1
11	788	1
11	357	1
11	1461	1
11	435	1
11	2355	1
11	2507	1
11	3249	1
11	1573	1
11	3182	1
11	85	1
11	986	1
11	708	1
12	2616	1
13	3070	1
14	2572	1
14	2694	1
14	1982	1
14	608	1
15	2702	1
15	357	1
15	2770	1
15	2617	1
16	2568	1
16	2720	1
16	2828	1
16	2856	1
18	1186	1
18	3439	1
18	1690	1
18	3877	1
18	3440	1
18	736	1
18	737	1
18	168	1
18	3889	1
18	2723	1
18	2807	1
18	1367	1
18	839	1
18	1005	1
18	405	1
18	3623	1
18	1882	1
18	2253	1
18	291	1
18	47	1
18	1049	1
18	2421	1
18	2422	1
18	1552	1
18	1126	1
18	1635	1
18	1562	1
18	1499	1
18	532	1
18	2953	1
18	2450	1
18	1801	1
18	2391	1
18	95	1
18	1591	1
18	1739	1
18	3911	1
18	3418	1
18	2617	1
18	208	1
18	2042	1
19	2649	1
19	2720	1
19	2653	1
19	405	1
19	2699	1
19	879	1
19	2428	1
19	76	1
19	1650	1
19	1655	1
19	2600	1
21	596	1
21	3053	1
21	1645	1
21	2018	1
21	2394	1
21	3774	1
22	3355	1
22	1909	1
22	1917	1
22	1438	1
22	1876	1
22	3113	1
22	1377	1
22	1882	1
22	786	1
22	353	1
22	2699	1
22	1608	1
22	2338	1
22	798	1
22	1037	1
22	2273	1
22	1544	1
22	377	1
22	1485	1
22	3300	1
22	3826	1
22	3257	1
22	2393	1
22	2616	1
23	3877	1
23	2642	1
23	2643	1
23	3521	1
23	2091	1
23	1876	1
23	3702	1
23	357	1
23	2005	1
23	1060	1
23	3266	1
24	3354	1
24	3707	1
24	372	1
24	208	1
25	1882	1
25	3676	1
26	2053	1
26	2059	1
26	2700	1
26	231	1
26	818	1
26	3608	1
26	2746	1
26	333	1
26	337	1
26	1517	1
26	2174	1
26	1376	1
26	2683	1
26	344	1
26	784	1
26	788	1
26	1028	1
26	429	1
26	1391	1
26	370	1
26	518	1
26	445	1
26	1485	1
26	2791	1
26	1126	1
26	2798	1
26	2291	1
26	2004	1
26	3254	1
26	2459	1
26	3268	1
27	2	1
27	3593	1
27	2005	1
29	3793	1
31	1188	1
31	1976	1
31	2780	1
32	3286	1
32	3821	1
33	223	1
33	1699	1
33	3397	1
33	3398	1
33	17	1
33	3095	1
33	2384	1
33	3693	1
33	1095	1
34	1188	1
34	236	1
34	1381	1
34	2382	1
34	2383	1
34	2108	1
35	728	1
35	2633	1
35	1760	1
35	1408	1
35	3512	1
35	788	1
35	1030	1
35	3725	1
35	3812	1
35	1220	1
35	1801	1
2	1213	2
2	434	2
2	3107	2
2	902	2
2	3256	2
2	3699	2
